Date,"Berlin","München","Leipzig","Stuttgart","Köln"
2020-10,13436,5129,1287,1676,1911
2020-11,15673,3629,1172,1870,2713
2020-12,12500,3334,1104,1589,1854
2021-01,12368,4476,1462,1979,2766
2021-02,20432,5712,1933,3559,3191
2021-03,22500,6668,1947,3238,3598
2021-04,13439,4014,1629,1817,1991
2021-05,5668,1834,1241,2144,1534
2021-06,9887,2697,1683,1079,1726
2021-07,6211,2137,808,981,1097
2021-08,10759,2133,1235,1373,1535
2021-09,5556,1711,986,1055,1134
2021-10,6053,3683,1279,1225,1458
2021-11,7455,2020,1153,1273,1891
2021-12,8865,2872,2118,1619,1727
2022-01,12223,3872,2554,1820,2504
2022-02,3620,1648,1161,1172,1184
2022-03,5006,2333,1131,1101,1223
2022-04,7528,2144,1167,1225,1680
2022-05,8110,20529,1326,1229,1509
2022-06,9112,21624,1103,906,1019
2022-07,10268,4255,3931,3061,1757
2022-08,17969,10034,6358,5666,3177
2022-09,20162,10399,6607,7169,3887
2022-10,20790,7277,7148,7093,3481
