Date,"Josip Broz Tito","Saban Saulic","Bijelo Dugme"
2022-10-26,2300,5,192
2022-10-27,2440,4,192
2022-10-28,2314,0,223
2022-10-29,2253,2,238
2022-10-30,2258,0,274
2022-10-31,2425,3,207
2022-11-01,2682,1,237
2022-11-02,2625,3,196
2022-11-03,2505,4,178
2022-11-04,2267,5,231
2022-11-05,2257,0,247
2022-11-06,2379,2,271
2022-11-07,2513,2,207
2022-11-08,2548,2,227
2022-11-09,2189,1,173
2022-11-10,2279,2,185
2022-11-11,2347,3,267
2022-11-12,2168,3,294
2022-11-13,2461,2,340
2022-11-14,2525,2,202
2022-11-15,2528,3,231
